t,theta,v
0.01,0.628,-0.005875275257138919
0.02,0.6279412472474286,-0.011750075074407468
0.03,0.6278237464966845,-0.01762392398957722
0.04,0.6276475072567888,-0.023496346495754657
0.05,0.6274125437918312,-0.029366867019176214
0.060000000000000005,0.6271188751216394,-0.035235009897156284
0.07,0.6267665250226678,-0.041100299356239114
0.08,0.6263555220291055,-0.04696225949060536
0.09,0.6258858994341995,-0.052820414240783875
0.09999999999999999,0.6253576952917916,-0.05867428737271923
0.10999999999999999,0.6247709524180645,-0.06452340245724529
0.11999999999999998,0.624125718393492,-0.07036728285001478
0.12999999999999998,0.6234220455649918,-0.07620545167193478
0.13999999999999999,0.6226599910482724,-0.08203743179015756
0.15,0.6218396167303708,-0.08786274579967614
0.16,0.6209609892723741,-0.0936809160055733
0.17,0.6200241801123183,-0.09949146440597269
0.18000000000000002,0.6190292654682585,-0.10529391267574022
0.19000000000000003,0.6179763263415011,-0.11108778215098333
0.20000000000000004,0.6168654485199913,-0.11687259381439564
0.21000000000000005,0.6156967225818473,-0.12264786828149354
0.22000000000000006,0.6144702438990324,-0.12841312578779127
0.23000000000000007,0.6131861126411544,-0.13416788617696015
0.24000000000000007,0.6118444337793848,-0.1399116688900172
0.25000000000000006,0.6104453170904847,-0.14564399295558764
0.26000000000000006,0.6089888771609288,-0.15136437698128566
0.2700000000000001,0.6074752333911159,-0.1570723391462562
0.2800000000000001,0.6059045099996533,-0.16276739719492106
0.2900000000000001,0.6042768360277041,-0.1684490684319706
0.3000000000000001,0.6025923453433844,-0.1741168697186428
0.3100000000000001,0.6008511766461979,-0.17977031747032973
0.3200000000000001,0.5990534734714946,-0.18540892765555128
0.3300000000000001,0.5971993841949391,-0.19103221579633445
0.34000000000000014,0.5952890620369757,-0.19663969697003672
0.35000000000000014,0.5933226650672754,-0.20223088581264995
0.36000000000000015,0.5913003562091489,-0.20780529652362098
0.37000000000000016,0.5892223032439127,-0.21336244287222414
0.38000000000000017,0.5870886788151904,-0.21890183820551937
0.3900000000000002,0.5848996604331352,-0.22442299545792938
0.4000000000000002,0.582655430478556,-0.22992542716246733
0.4100000000000002,0.5803561762069313,-0.2354086454636463
0.4200000000000002,0.5780020897522948,-0.24087216213209967
0.4300000000000002,0.5755933681309738,-0.2463154885809417
0.4400000000000002,0.5731302132451644,-0.2517381358838947
0.45000000000000023,0.5706128318863255,-0.25713961479520964
0.46000000000000024,0.5680414357383734,-0.26251943577140435
0.47000000000000025,0.5654162413806594,-0.26787710899484357
0.48000000000000026,0.562737470290711,-0.273212144399182
0.49000000000000027,0.5600053488467192,-0.2785240516966921
0.5000000000000002,0.5572201083297522,-0.2838123404074951
0.5100000000000002,0.5543819849256773,-0.2890765198907143
0.5200000000000002,0.5514912197267701,-0.294316099377566
0.5300000000000002,0.5485480587329944,-0.2995305880064034
0.5400000000000003,0.5455527528529304,-0.30471949485972766
0.5500000000000003,0.5425055579043331,-0.3098823290031767
0.5600000000000003,0.5394067346143013,-0.31501859952650335
0.5700000000000003,0.5362565486190363,-0.3201278155865505
0.5800000000000003,0.5330552704631708,-0.32520948645223113
0.5900000000000003,0.5298031755986485,-0.33026312155151777
0.6000000000000003,0.5265005443831333,-0.33528823052044615
0.6100000000000003,0.5231476620779288,-0.3402843232541338
0.6200000000000003,0.5197448188453875,-0.34525090995981483
0.6300000000000003,0.5162923097457893,-0.35018750121188835
0.6400000000000003,0.5127904347336705,-0.3550936080089785
0.6500000000000004,0.5092394986535806,-0.35996874183299943
0.6600000000000004,0.5056398112352507,-0.3648124147102192
0.6700000000000004,0.5019916870881486,-0.3696241392743136
0.6800000000000004,0.4982954456954054,-0.37440342883139865
0.6900000000000004,0.4945514114070914,-0.37914979742702987
0.7000000000000004,0.4907599134328211,-0.383862759915153
0.7100000000000004,0.48692128583366956,-0.3885418320289905
0.7200000000000004,0.4830358675133797,-0.3931865304538447
0.7300000000000004,0.47910400220884125,-0.39779637290179787
0.7400000000000004,0.47512603847982326,-0.40237087818828626
0.7500000000000004,0.4711023296979404,-0.4069095663105247
0.7600000000000005,0.46703323403483515,-0.4114119585277548
0.7700000000000005,0.4629191144495576,-0.4158775774432885
0.7800000000000005,0.45876033867512467,-0.4203059470883179
0.7900000000000005,0.4545572792042415,-0.4246965930074576
0.8000000000000005,0.45031031327416693,-0.42904904234598695
0.8100000000000005,0.44601982285070707,-0.43336282393875514
0.8200000000000005,0.4416861946113195,-0.4376374684007115
0.8300000000000005,0.43730981992731244,-0.44187250821902113
0.8400000000000005,0.4328910948451222,-0.4460674778467237
0.8500000000000005,0.428430420066655,-0.4502219137978916
0.8600000000000005,0.42392820092867606,-0.4543353547442422
0.8700000000000006,0.41938484738123366,-0.45840734161315544
0.8800000000000006,0.4148007739651021,-0.46243741768704866
0.8900000000000006,0.4101763997882316,-0.4664251287040564
0.9000000000000006,0.40551214850119105,-0.47037002295996205
0.9100000000000006,0.40080844827159146,-0.4742716514113268
0.9200000000000006,0.39606573175747817,-0.478129567779759
0.9300000000000006,0.39128443607968055,-0.48194332865726486
0.9400000000000006,0.3864650027931079,-0.48571249361262153
0.9500000000000006,0.3816078778569817,-0.4894366252987096
0.9600000000000006,0.3767135116039946,-0.49311528956074235
0.9700000000000006,0.37178235870838716,-0.49674805554532603
0.9800000000000006,0.3668148781529339,-0.5003344958102858
0.9900000000000007,0.36181153319483106,-0.5038741864351876
1.0000000000000007,0.3567727913304792,-0.5073667071324882
1.0100000000000007,0.3516991242591543,-0.5108116413592421
1.0200000000000007,0.34659100784556185,-0.5142085764292915
