t,theta,v
0.01,0.08467961296028303,0.41588647460812395
0.02,0.08883847770636427,0.41495766928540084
0.03,0.09298805439921828,0.4139876324737102
0.04,0.09712793072395538,0.41297648083115057
0.05,0.10125769553226689,0.4119243356865472
0.060000000000000005,0.10537693888913237,0.4108313230100165
0.07,0.10948525211923253,0.40969757338250506
0.08,0.11358222785305758,0.4085232219643217
0.09,0.11766746007270079,0.40730840846268496
0.09999999999999999,0.12174054415732764,0.40605327709830635
0.10999999999999999,0.12580107692831072,0.4047579765710329
0.11999999999999998,0.12984865669402104,0.4034226600245701
0.12999999999999998,0.13388288329426673,0.4020474850103096
0.13999999999999999,0.13790335814436983,0.4006326134502849
0.15,0.14190968427887268,0.39917821159927874
0.16,0.14590146639486548,0.39768445000610786
0.17,0.14987831089492656,0.3961515034741088
0.18000000000000002,0.15383982592966766,0.3945795510208514
0.19000000000000003,0.15778562143987618,0.39296877583710443
0.20000000000000004,0.16171530919824723,0.3913193652450808
0.21000000000000005,0.16562850285069802,0.38963151065598783
0.22000000000000006,0.1695248179572579,0.38790540752690955
0.23000000000000007,0.173403872032527,0.38614125531704807
0.24000000000000007,0.17726528458569749,0.38433925744335135
0.25000000000000006,0.181108677160131,0.38249962123555437
0.26000000000000006,0.18493367337248653,0.3806225578906617
0.2700000000000001,0.18873989895139315,0.37870828242689913
0.2800000000000001,0.19252698177566213,0.37675701363716224
0.2900000000000001,0.19629455191203377,0.37476897404198967
0.3000000000000001,0.20004224165245366,0.37274438984208985
0.3100000000000001,0.20376968555087455,0.37068349087044833
0.3200000000000001,0.20747652045957904,0.36858651054404495
0.3300000000000001,0.21116238556501948,0.36645368581520804
0.34000000000000014,0.21482692242317156,0.36428525712263454
0.35000000000000014,0.2184697749943979,0.36208146834210375
0.36000000000000015,0.22209058967781894,0.3598425667369127
0.37000000000000016,0.22568901534518807,0.3575688029080612
0.38000000000000017,0.22926470337426869,0.35526043074421465
0.3900000000000002,0.23281730768171083,0.35291770737147127
0.4000000000000002,0.23634648475542555,0.35054089310296244
0.4100000000000002,0.23985189368645518,0.3481302513883128
0.4200000000000002,0.2433331962003383,0.3456860487629868
0.4300000000000002,0.24679005668796816,0.34320855479754964
0.4400000000000002,0.25022214223594363,0.3406980420468679
0.45000000000000023,0.2536291226564123,0.3381547859992768
0.46000000000000024,0.2570106705164051,0.3355790650257402
0.47000000000000025,0.2603664611666625,0.33297116032902857
0.48000000000000026,0.2636961727699528,0.3303313558929401
0.49000000000000027,0.26699948632888215,0.32765993843159064
0.5000000000000002,0.27027608571319806,0.3249571973387959
0.5100000000000002,0.273525657686586,0.32222342463757125
0.5200000000000002,0.2767478919329617,0.31945891492977163
0.5300000000000002,0.2799424810822594,0.31666396534589575
0.5400000000000003,0.28310912073571837,0.31383887549507683
0.5500000000000003,0.2862475094906691,0.3109839474152826
0.5600000000000003,0.28935734896482196,0.3080994855237462
0.5700000000000003,0.2924383438200594,0.30518579656764894
0.5800000000000003,0.2954902017857359,0.3022431895750767
0.5900000000000003,0.2985126336814866,0.2992719758062693
0.6000000000000003,0.3015053534395493,0.29627246870518326
0.6100000000000003,0.30446807812660115,0.29324498385138636
0.6200000000000003,0.307400527965115,0.2901898389123037
0.6300000000000003,0.31030242635423805,0.2871073535958323
0.6400000000000003,0.3131734998901964,0.2839978496033419
0.6500000000000004,0.3160134783862298,0.2808616505830797
0.6600000000000004,0.3188220948920606,0.2776990820839937
0.6700000000000004,0.3215990857129005,0.2745104715099915
0.6800000000000004,0.32434419042800045,0.27129614807464947
0.6900000000000004,0.32705715190874696,0.2680564427563854
0.7000000000000004,0.3297377163363108,0.2647916882541103
0.7100000000000004,0.33238563321885195,0.26150221894337067
0.7200000000000004,0.33500065540828566,0.25818837083299456
0.7300000000000004,0.3375825391166156,0.2548504815222533
0.7400000000000004,0.34013104393183813,0.25148889015854925
0.7500000000000004,0.3426459328334236,0.24810393739564057
0.7600000000000005,0.34512697220738,0.24469596535241295
0.7700000000000005,0.34757393186090413,0.24126531757220684
0.7800000000000005,0.3499865850366262,0.237812338982709
0.7900000000000005,0.3523647084264533,0.23433737585641615
0.8000000000000005,0.3547080821850174,0.23084077577167753
0.8100000000000005,0.3570164899427342,0.2273228875743232
0.8200000000000005,0.35928971881847743,0.22378406133988357
0.8300000000000005,0.36152755943187626,0.2202246483364052
0.8400000000000005,0.3637298059152403,0.21664500098786765
0.8500000000000005,0.365896255925119,0.2130454728382048
0.8600000000000005,0.368026710653501,0.20942641851593377
0.8700000000000006,0.37012097483866035,0.20578819369939422
0.8800000000000006,0.3721788567756543,0.20213115508259943
0.8900000000000006,0.37420016832648034,0.1984556603417006
0.9000000000000006,0.37618472492989735,0.19476206810206453
0.9100000000000006,0.378132345610918,0.19105073790596513
0.9200000000000006,0.3800428529899777,0.1873220301808874
0.9300000000000006,0.38191607329178656,0.1835763062084427
0.9400000000000006,0.383751836353871,0.17981392809389368
0.9500000000000006,0.3855499756348099,0.1760352587362856
0.9600000000000006,0.38731032822217276,0.17224066179918124
0.9700000000000006,0.3890327348401646,0.1684305016819957
0.9800000000000006,0.3907170398569845,0.16460514349192615
0.9900000000000007,0.3923630912919038,0.16076495301647228
1.0000000000000007,0.3939707408220685,0.1569102966965412
1.0100000000000007,0.3955398437890339,0.15304154160013117
1.0200000000000007,0.3970702592050352,0.14915905539658744
1.0300000000000007,0.39856184975900105,0.14526320633142273
1.0400000000000007,0.4000144818223153,0.14135436320169487
1.0500000000000007,0.40142802545433226,0.13743289533193342
